date,year,month,state,type,source,mwh,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Other Gases,1116718,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Nuclear,70777688,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,21083924,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Wind,976691,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,74925,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3369114,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Geothermal,1227097,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Other Biomass,1396217,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Pumped Storage,-934630,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Other,1328899,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Total,374585819,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Coal,165366309,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Petroleum,8075351,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Natural Gas,68161131,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Other Gases,1053312,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Nuclear,64480790,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,17086782,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Wind,735828,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,52608,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3312990,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Geothermal,1195081,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Other Biomass,1285410,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Pumped Storage,-776518,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Other,1250361,,,
Sep-02,2002,9,US-TOTAL,Total Electric Power Industry,Total,331279434,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Coal,159099294,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Petroleum,8115979,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Natural Gas,54200820,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Other Gases,907601,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Nuclear,60493052,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,17171334,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Wind,734355,,,
